fips,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
29003,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29005,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29007,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29009,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29011,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29013,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29015,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29017,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29019,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29021,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29023,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29025,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29027,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29029,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29031,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29033,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29035,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29037,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29039,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29041,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29043,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29045,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29047,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29049,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29051,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29053,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29055,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29057,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29059,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29061,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29063,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29065,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29067,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29069,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29071,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29073,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29075,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29077,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29079,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29081,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29083,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29085,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29087,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29089,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29091,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29093,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29095,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29097,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29099,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29101,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29103,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29105,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29107,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29109,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29111,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29113,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29115,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
29117,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
