fips,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
16067,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
16069,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
16071,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
16073,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
16075,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
16077,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
16079,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
16081,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
16083,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
16085,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
16087,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17001,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17003,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17005,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17007,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17009,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17011,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17013,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17015,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17017,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17019,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17021,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17023,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17025,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17027,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17029,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17031,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17033,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17035,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17037,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17039,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17041,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17043,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17045,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17047,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17049,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17051,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17053,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17055,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17057,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17059,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17061,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17063,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17065,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17067,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17069,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17071,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17073,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17075,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17077,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17079,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17081,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17083,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17085,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17087,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17089,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17091,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
17093,,,,,,,66.8,65.8,61.75,53.0,53.6,55.3,55.6,59.55,123.5,139.5,112.5,120.0,114.25,114.25,131.0,147.75,146.5,139.0,142.75,140.0,117.0,110.5,136.5,136.0,133.5,138.5,138.0,136.0,139.5,169.0,182.0,160.0,134.0,128.0,131.0,189.0,127.0,161.0,178.0,215.0,232.0,277.0,401.0,320.0,283.0,351.0,403.0,410.0,359.0,342.23,277.73,265.82,286.5,292.37,267.86,390.18,641.98
